YEAR,MO,DY,HR,QV2M,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,T2M
2025,9,2,0,10.57,0,2.27,0,0,15.62
2025,9,2,1,10.66,0,2.38,0,0,15.09
2025,9,2,2,10.77,0,2.42,0,0,14.65
2025,9,2,3,10.88,0,2.25,0,0,14.42
2025,9,2,4,10.92,0,2.22,0,0,14.26
2025,9,2,5,10.88,12.4,2.29,11.51,54.8,14.13
2025,9,2,6,10.8,142.57,2.59,50.29,449.65,16.84
2025,9,2,7,9.88,337.77,2.53,77.23,656.72,19.3
2025,9,2,8,8.54,515.25,2.5,87.15,776.11,21.52
2025,9,2,9,7.66,670.05,2.41,124.31,801.35,23.42
2025,9,2,10,7.31,776.08,2.35,109.89,860.25,24.88
2025,9,2,11,7.3,816.8,2.36,106.38,883.75,25.89
2025,9,2,12,7.38,786.05,2.47,161.78,837.96,26.58
2025,9,2,13,7.38,756.75,2.66,147.5,809.08,26.85
2025,9,2,14,7.41,617.5,2.86,99.68,791.45,26.72
2025,9,2,15,7.44,458.55,3.03,87.51,720.83,26.15
2025,9,2,16,7.52,277.6,3.19,62.99,599.86,25.08
2025,9,2,17,7.86,107.97,3.13,39.04,394.84,23.34
2025,9,2,18,8.54,3.75,2.46,4.57,26.8,20.35
2025,9,2,19,9.22,0,2.36,0,0,18.93
2025,9,2,20,9.83,0,2.02,0,0,17.76
2025,9,2,21,10.3,0,1.79,0,0,16.72
2025,9,2,22,10.54,0,1.73,0,0,16.09
2025,9,2,23,10.55,0,1.6,0,0,15.99
2025,9,3,0,10.5,0,1.25,0,0,16.15
2025,9,3,1,10.45,0,0.7,0,0,16.31
2025,9,3,2,10.37,0,0.16,0,0,16.41
2025,9,3,3,10.26,0,0.46,0,0,16.1
2025,9,3,4,10.2,0,0.91,0,0,15.46
2025,9,3,5,10.2,11.05,1.21,11.01,34.24,15.12
2025,9,3,6,10.34,146.05,1.19,52.66,470.07,16.85
2025,9,3,7,9.72,334.5,0.93,88.56,643.45,19.55
2025,9,3,8,8.5,517.78,0.91,113.48,742.32,22.17
2025,9,3,9,7.86,641.38,0.91,150.46,690.37,24.19
2025,9,3,10,7.65,775.53,1.16,126.36,831.99,25.56
2025,9,3,11,7.74,820.85,1.61,206.91,798.76,26.39
2025,9,3,12,7.68,799.92,2.08,113.51,849.31,26.83
2025,9,3,13,7.68,736.25,2.37,139.97,823.1,26.76
2025,9,3,14,7.73,612.28,2.49,145.62,686.05,26.46
2025,9,3,15,7.8,446.02,2.51,129.83,589.8,26.01
2025,9,3,16,7.86,277.6,2.57,84.95,556.19,25.22
2025,9,3,17,8.21,94,2.67,54.42,225.96,23.6
2025,9,3,18,8.74,0,2.54,0,0,20.6
2025,9,3,19,9.33,0,2.59,0,0,19.26
2025,9,3,20,9.93,0,2.32,0,0,18.23
2025,9,3,21,10.43,0,2.14,0,0,17.32
2025,9,3,22,10.76,0,2,0,0,16.59
2025,9,3,23,10.97,0,1.98,0,0,16.08
2025,9,4,0,11.17,0,1.92,0,0,15.78
2025,9,4,1,11.35,0,1.85,0,0,15.51
2025,9,4,2,11.48,0,1.92,0,0,15.25
2025,9,4,3,11.53,0,2.15,0,0,15.04
2025,9,4,4,11.57,0,2.18,0,0,14.84
2025,9,4,5,11.6,9.23,2.14,10.43,19.68,14.83
2025,9,4,6,11.81,136.38,1.85,51.24,409.25,17.77
2025,9,4,7,11.35,323.77,2.38,88.19,605.75,20.6
2025,9,4,8,10.43,504.55,3.09,118.52,694.12,23.03
2025,9,4,9,9.78,654.83,3.85,143.63,741.45,24.92
2025,9,4,10,9.67,733.97,4.51,176.48,707.18,26.11
2025,9,4,11,9.73,762.3,5.11,221.97,628.59,26.76
2025,9,4,12,9.88,769.9,5.63,193.1,679.12,27
2025,9,4,13,10.05,738.25,6.05,117.65,812.18,26.78
2025,9,4,14,10.3,597.9,6.31,128,713.1,26.06
2025,9,4,15,10.68,431.88,6.35,114.5,620.88,24.91
2025,9,4,16,11.06,243.38,6.08,101.9,430.91,23.57
2025,9,4,17,11.56,80.03,5.43,53.73,187.58,22.05
2025,9,4,18,12.27,0,4.79,0,0,20.68
2025,9,4,19,12.86,0,4.64,0,0,20.18
2025,9,4,20,13.23,0,4.48,0,0,20.06
2025,9,4,21,13.44,0,4.27,0,0,20.1
2025,9,4,22,13.56,0,4.22,0,0,20.2
2025,9,4,23,13.47,0,4.18,0,0,20.12
2025,9,5,0,13.19,0,3.62,0,0,19.83
2025,9,5,1,13.24,0,2.97,0,0,19.66
2025,9,5,2,13.32,0,2.42,0,0,19.22
2025,9,5,3,13.22,0,2.28,0,0,18.6
2025,9,5,4,13.05,0,2.17,0,0,18.21
2025,9,5,5,12.85,8.27,2.16,9.84,9.71,17.96
2025,9,5,6,13.98,118.97,1.94,65.26,255.07,19.71
2025,9,5,7,14.39,299.02,2.04,106.31,486.92,21.65
2025,9,5,8,12.94,478.6,2.23,123.3,635.77,23.91
2025,9,5,9,11.07,594.28,2.49,200.8,534.73,25.61
2025,9,5,10,10.29,713.72,3.23,191.75,642.12,27.17
2025,9,5,11,10.31,776.6,4,187.1,694.38,28
2025,9,5,12,10.71,804.72,4.67,113.96,846.45,28.56
2025,9,5,13,11.13,710.58,5.31,130.92,771.88,28.81
2025,9,5,14,11.37,600.3,5.79,128.08,706.89,28.78
2025,9,5,15,11.55,398.35,5.95,158.51,447.46,28.36
2025,9,5,16,11.76,219.43,5.73,111.36,298.9,27.55
2025,9,5,17,12.29,61.62,5.1,48.23,59.44,26.17
2025,9,5,18,13.2,0,4.14,0,0,24.16
2025,9,5,19,13.94,0,3.67,0,0,22.92
2025,9,5,20,14.42,0,3.44,0,0,22.23
2025,9,5,21,14.62,0,3.35,0,0,21.76
2025,9,5,22,14.68,0,3.22,0,0,21.4
2025,9,5,23,14.67,0,2.98,0,0,21.11
